epoch,step,test_AUC,test_accuracy,test_accuracy_macro,test_accuracy_normal,test_accuracy_pac,test_accuracy_pvc,test_f1,test_f1_macro,test_f1_normal,test_f1_pac,test_f1_pvc,test_loss,test_ppv,test_ppv_macro,test_ppv_normal,test_ppv_pac,test_ppv_pvc,test_sensitivity,test_sensitivity_macro,test_sensitivity_normal,test_sensitivity_pac,test_sensitivity_pvc,test_specificity,test_specificity_macro,test_specificity_normal,test_specificity_pac,test_specificity_pvc,train_AUC,train_accuracy,train_accuracy_macro,train_accuracy_normal,train_accuracy_pac,train_accuracy_pvc,train_f1,train_f1_macro,train_f1_normal,train_f1_pac,train_f1_pvc,train_loss,train_ppv,train_ppv_macro,train_ppv_normal,train_ppv_pac,train_ppv_pvc,train_sensitivity,train_sensitivity_macro,train_sensitivity_normal,train_sensitivity_pac,train_sensitivity_pvc,train_specificity,train_specificity_macro,train_specificity_normal,train_specificity_pac,train_specificity_pvc,valid_AUC,valid_accuracy,valid_accuracy_macro,valid_accuracy_normal,valid_accuracy_pac,valid_accuracy_pvc,valid_f1,valid_f1_macro,valid_f1_normal,valid_f1_pac,valid_f1_pvc,valid_loss,valid_ppv,valid_ppv_macro,valid_ppv_normal,valid_ppv_pac,valid_ppv_pvc,valid_sensitivity,valid_sensitivity_macro,valid_sensitivity_normal,valid_sensitivity_pac,valid_sensitivity_pvc,valid_specificity,valid_specificity_macro,valid_specificity_normal,valid_specificity_pac,valid_specificity_pvc,phase
5,737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89886474609375,0.5205662846565247,0.5205662846565247,0.987889289855957,0.050000000745058,0.523809552192688,0.5495676398277283,0.5495676398277283,0.9620893001556396,0.0625,0.6241135001182556,0.2695240080356598,0.5976219177246094,0.5976219177246094,0.9376026391983032,0.0833333358168602,0.7719298005104065,0.5205662846565247,0.5205662846565247,0.987889289855957,0.050000000745058,0.523809552192688,0.8551092147827148,0.8551092147827148,0.5957446694374084,0.991691827774048,0.9778911471366882,
5,737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9347091913223268,0.8139927983283997,0.8139927983283997,0.9104762077331544,0.8692835569381714,0.6622188091278076,0.8106489181518555,0.8106489181518555,0.8869920372962952,0.8251039981842041,0.7198507785797119,0.4464474618434906,0.8127856850624084,0.8127856850624084,0.8646888732910156,0.785197913646698,0.7884702682495117,0.8139927983283997,0.8139927983283997,0.9104762077331544,0.8692835569381714,0.6622188091278076,0.9070133566856384,0.9070133566856384,0.9287211894989014,0.8810975551605225,0.911221206188202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8594045042991638,0.5164263844490051,0.5164263844490051,0.7076124548912048,0.050000000745058,0.7916666865348816,0.4251784980297088,0.4251784980297088,0.8229376077651978,0.0263157896697521,0.4262820482254028,0.9062054753303528,0.4308989346027374,0.4308989346027374,0.9831730723381042,0.0178571436554193,0.2916666567325592,0.5164263844490051,0.5164263844490051,0.7076124548912048,0.050000000745058,0.7916666865348816,0.8697770237922668,0.8697770237922668,0.9255319237709044,0.958459198474884,0.7253401279449463,
6,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9455193877220154,0.8403199315071106,0.8403199315071106,0.9039267897605896,0.9047619104385376,0.7122713327407837,0.8379666805267334,0.8379666805267334,0.8870183229446411,0.8678969740867615,0.7589847445487976,0.404942512512207,0.8389682769775391,0.8389682769775391,0.8707308173179626,0.8339185118675232,0.8122555613517761,0.8403199315071106,0.8403199315071106,0.9039267897605896,0.9047619104385376,0.7122713327407837,0.9201585650444032,0.9201585650444032,0.93293958902359,0.909853219985962,0.917682945728302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8051263093948364,0.4763607680797577,0.4763607680797577,0.4100345969200134,0.1500000059604644,0.8690476417541504,0.3160872161388397,0.3160872161388397,0.5773447155952454,0.0645161271095275,0.3064008355140686,1.3403702974319458,0.4007972478866577,0.4007972478866577,0.9753086566925048,0.0410958901047706,0.1859872639179229,0.4763607680797577,0.4763607680797577,0.4100345969200134,0.1500000059604644,0.8690476417541504,0.779977560043335,0.779977560043335,0.936170220375061,0.9471299052238464,0.4566326439380646,
7,983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9523913264274596,0.8553090691566467,0.8553090691566467,0.9200000166893004,0.913076639175415,0.7328506112098694,0.8530664443969727,0.8530664443969727,0.8888480067253113,0.8875300884246826,0.7828210592269897,0.3811858892440796,0.8544051647186279,0.8544051647186279,0.8597365617752075,0.8633741736412048,0.840104877948761,0.8553090691566467,0.8553090691566467,0.9200000166893004,0.913076639175415,0.7328506112098694,0.9276548027992249,0.9276548027992249,0.9249094724655152,0.9277957677841188,0.9302591681480408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8776139616966248,0.525907576084137,0.525907576084137,0.9801037907600404,0.050000000745058,0.5476190447807312,0.5520930886268616,0.5520930886268616,0.9577345848083496,0.0769230797886848,0.6216216087341309,0.313370406627655,0.6072601079940796,0.6072601079940796,0.9363636374473572,0.1666666716337204,0.71875,0.525907576084137,0.525907576084137,0.9801037907600404,0.050000000745058,0.5476190447807312,0.8520123362541199,0.8520123362541199,0.5904255509376526,0.9962235689163208,0.9693877696990968,
8,1106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9530286192893982,0.8521110415458679,0.8521110415458679,0.9127951264381408,0.9001143574714661,0.743423581123352,0.850471019744873,0.850471019744873,0.8944029808044434,0.8762293457984924,0.7807807922363281,0.3793698251247406,0.850802481174469,0.850802481174469,0.8767373561859131,0.8535791635513306,0.8220910429954529,0.8521110415458679,0.8521110415458679,0.9127951264381408,0.9001143574714661,0.743423581123352,0.9260689616203308,0.9260689616203308,0.9357605576515198,0.9228424429893494,0.919603705406189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9013630747795104,0.5671829581260681,0.5671829581260681,0.9610726833343506,0.050000000745058,0.6904761791229248,0.5680161118507385,0.5680161118507385,0.9606571793556212,0.0487804859876632,0.6946107745170593,0.2997875511646271,0.5688854455947876,0.5688854455947876,0.9602420330047609,0.0476190485060215,0.6987951993942261,0.5671829581260681,0.5671829581260681,0.9610726833343506,0.050000000745058,0.6904761791229248,0.8992321491241455,0.8992321491241455,0.7553191781044006,0.9848942756652832,0.9574829936027528,
9,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9598156809806824,0.8677989840507507,0.8677989840507507,0.9165714383125304,0.9206410050392152,0.7661843299865723,0.8663185238838196,0.8663185238838196,0.8992711901664734,0.8955278992652893,0.8041566610336304,0.350010335445404,0.866816520690918,0.866816520690918,0.882611870765686,0.8717485666275024,0.8460891246795654,0.8677989840507507,0.8677989840507507,0.9165714383125304,0.9206410050392152,0.7661843299865723,0.9338796734809875,0.9338796734809875,0.9390127658843994,0.9323938488960266,0.930232584476471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
